,country,name,full_name,symbol,currency,class,market
969,world,DJ Emerg MKT Health Care Titans 30,Dow Jones Emerging Markets Health Care Titans 30,DJEHK,USD,primary_sectors,global_indices
970,world,DJ Emerg Markets Fin Titans 30 EUR,Dow Jones Emerging Markets Financials Titans 30 EUR,DJEFNE,EUR,primary_sectors,global_indices
971,world,DJ Americas Consumer Goods,Dow Jones Americas Consumer Goods,A1NCY,USD,primary_sectors,global_indices
972,world,DJ Emerg Markets Fin Titans 30,Dow Jones Emerging Markets Financials Titans 30,DJEFN,USD,primary_sectors,global_indices
973,world,DJ Emerg Markets Oil Gas Titans 30,Dow Jones Emerging Markets Oil & Gas Titans 30,DJEEO,USD,primary_sectors,global_indices
974,world,DJ Emerg MKT Consumer Goods 30,Dow Jones Emerging Markets Consumer Goods Titans 30,DJECG,USD,primary_sectors,global_indices
975,world,DJ Emerg MKT Basic Materials 30 EUR,Dow Jones Emerging Markets Basic Materials Titans 30 EUR,DJEBME,EUR,primary_sectors,global_indices
976,world,DJ Brook Emerg Markets Infra  EUR,Dow Jones Brookfield Emerging Markets Infrastructure EUR,DJBIEME,EUR,primary_sectors,global_indices
977,world,DJ Brook Global Infra NA CAD,Dow Jones Brookfield Global Infrastructure North American Listed CAD,DJBGINAC,CAD,primary_sectors,global_indices
978,world,DJ Brook Global Infra EUR,Dow Jones Brookfield Global Infrastructure EUR,DJBGIE,EUR,primary_sectors,global_indices
979,world,DJ Brook Global Infra USD,Dow Jones Brookfield Global Infrastructure USD,DJBGI,USD,primary_sectors,global_indices
980,world,DJ Americas Utilities,Dow Jones Americas Utilities,A1UTI,USD,primary_sectors,global_indices
981,world,DJ Americas Telecommunications,Dow Jones Americas Telecommunications,A1TLS,USD,primary_sectors,global_indices
982,world,DJ Emerg MKT Oil Gas Titans 30 EUR,Dow Jones Emerging Markets Oil & Gas Titans 30 EUR,DJEEOE,EUR,primary_sectors,global_indices
983,world,DJ Islamic Market Oil & Gas,Dow Jones Islamic Market Oil & Gas,DJIENE,USD,primary_sectors,global_indices
984,world,MSCI World Telecom 10 40,MSCI World Telecom 10 40,MIWO0TC0TPUS,USD,primary_sectors,global_indices
985,world,MSCI EM Telecom,MSCI EM Telecom,MIEF0TC00PUS,USD,primary_sectors,global_indices
986,world,MSCI AC Asia Pacific x JP ConD,MSCI AC Asia Pacific x JP ConD,MIPFJCD00PUS,USD,primary_sectors,global_indices
987,world,MSCI ACWI Utilities,MSCI ACWI Utilities,MIWD0UT00PUS,USD,primary_sectors,global_indices
988,world,MSCI ACWI Industrials,MSCI ACWI Industrials,MIWD0IN00PUS,USD,primary_sectors,global_indices
